Cluster,Average_Silhouette,Data Points
-1,-0.537178079100085,2178.0
0,0.434682918285607,7.0
1,0.19314555521875146,17.0
2,0.6793060224323831,5.0
3,0.05050709278249162,14.0
4,0.3949823453684275,10.0
5,0.20207297727858403,19.0
6,0.6184951532318369,5.0
7,0.41437610290663096,10.0
8,0.5580627982922728,5.0
9,0.26733937412485087,21.0
10,0.20446067220175637,103.0
11,0.43278884417935526,18.0
12,0.21096721563937093,30.0
13,0.6450834635461312,5.0
14,0.3488863525131252,6.0
15,0.41514009834041804,11.0
16,0.31215541318921425,51.0
17,0.6509009432431337,6.0
18,0.25075421486548183,23.0
19,0.40153744388349094,12.0
20,0.2487411469647104,51.0
21,0.18551654471628923,39.0
22,0.47173811470898797,5.0
23,0.3524348953103999,19.0
24,0.07820640445134866,61.0
25,0.6341931454144579,5.0
26,0.411957701596364,34.0
27,0.16787864143399137,225.0
28,0.2245840250549148,103.0
29,0.33194172011090944,13.0
30,0.7581095783293949,6.0
31,0.5331962994635513,7.0
32,0.610038733608348,7.0
33,0.7780482304888329,6.0
34,0.14244585673219035,173.0
35,0.6439402253004939,5.0
36,0.4170206704029121,18.0
37,-0.10665081337828171,293.0
38,0.669570387263299,9.0
39,0.49630190082609954,12.0
40,0.32034230642835615,28.0
41,0.15826687052891553,2542.0
42,0.807258911998741,6.0
43,0.24377281340553741,102.0
44,0.6922119443890367,7.0
45,0.337128092982056,30.0
46,0.19100879754367348,209.0
47,0.4670871706389204,13.0
48,0.2825933021750469,301591.0
49,0.8254044336930297,14.0
50,0.09721615986560127,650.0
51,0.6027352390822608,15.0
Overall,0.2748941422077846,
